公司名称,省份,城市,营业收入,利润,员工人数,上市日期,行业分类,产品类型
潍柴动力股份有限公司,山东,潍坊市,654.71亿,43.67亿,45361,2007-04-30,汽车零部件,动力总成、整车整机及关键零部件、智能物流、其他零部件
许继电气股份有限公司,河南,许昌市,18.15亿,9601.26万,5547,1997-04-18,电气自控设备,智能变配电系统、智能中压供用电设备、智能电表、电动汽车智能充换电系统、直流输电系统、EMS加工服务
唐山冀东水泥股份有限公司,河北,唐山市,50.96亿,-2242.58万,23442,1996-06-14,水泥,硅酸盐水泥、专用水泥、特种水泥
金融街控股股份有限公司,北京,北京市,15.14亿,4.80亿,3548,1996-06-26,房地产开发,房产开发、物业租赁、物业经营
派斯双林生物制药股份有限公司,山西,太原市,2.85亿,5624.93万,902,1996-06-28,生物医药,血液制品、细胞培养基
长虹华意压缩机股份有限公司,江西,景德镇市,34.14亿,2948.19万,7788,1996-06-19,压缩机,压缩机 、原材料及配件、智能扫地机 、电池
山东胜利股份有限公司,山东,济南市,11.69亿,1.57亿,2071,1996-07-03,燃气,天然气终端销售、天然气贸易、管道制造、油品贸易
藏格控股股份有限公司,青海,海西蒙古族藏族自治州,4.29亿,2.53亿,1603,1996-06-28,钾肥,生产农用复合肥料、贸易业务
云鼎科技股份有限公司,山东,济南市,4587.86万,587.01万,381,1996-06-27,综合,黄金、生物制药、特种轮胎、专利技术实施、中药材加工零售、商业贸易
沈阳机床股份有限公司,辽宁,沈阳市,3.99亿,-1.08亿,4597,1996-07-18,机床设备,机床、机床配套
浙江英特集团股份有限公司,浙江,杭州市,64.54亿,9226.39万,2710,1996-07-16,医药商业,医药批发、医药零售
东旭光电科技股份有限公司,河北,石家庄市,11.86亿,-4.77亿,4557,1996-09-25,显示器件,光电显示新材料、高端装备制造、新能源汽车、建筑安装工程、石墨烯技术应用、电子通讯
渤海租赁股份有限公司,新疆,乌鲁木齐市,58.14亿,-3.95亿,612,1996-07-16,其他非银行金融,融资租赁、融资租赁咨询、经营租赁、集装箱租赁、飞机销售
民生控股股份有限公司,山东,青岛市,979.24万,111.62万,49,1996-07-19,其他非银行金融,典当业务、保险经纪业务、商品零售、其他
合肥百货大楼集团股份有限公司,安徽,合肥市,19.02亿,1.24亿,8842,1996-08-12,百货,百货业（含家电）、超市业、农产品交易市场、房地产
长沙通程控股股份有限公司,湖南,长沙市,5.67亿,2586.78万,1773,1996-08-16,百货,商业零售、酒店旅游
吉林化纤股份有限公司,吉林,吉林市,8.93亿,3154.95万,5406,1996-08-02,粘胶纤维,粘胶长丝、醋酐、粘胶短纤、亚硫酸氢钠
南京公用发展股份有限公司,江苏,南京市,10.77亿,3575.83万,3263,1996-08-06,燃气,汽车营运、房产开发、汽车销售、旅游服务、燃气销售、工程施工
湖北宜化化工股份有限公司,湖北,宜昌市,35.62亿,2.51亿,7499,1996-08-15,氮肥,化肥、化工、贸易
东阿阿胶股份有限公司,山东,聊城市,7.33亿,6145.94万,4509,1996-07-29,中药生产,阿胶及系列产品、医药贸易、其他药品及保健品、毛驴养殖及销售、其他
徐工集团工程机械股份有限公司,江苏,徐州市,249.78亿,17.46亿,15191,1996-08-28,工程机械,工程机械
内蒙古兴业矿业股份有限公司,内蒙古,赤峰市,5.86亿,1.09亿,554,1996-08-28,铅锌,锌精粉、铁精粉、铅精粉、钨精粉、含铅银精粉、含铜银精粉、锡精粉
华天酒店集团股份有限公司,湖南,长沙市,1.27亿,-1.21亿,3845,1996-08-08,酒店,酒店业、房地产业、酒店资产运营
广东省高速公路发展股份有限公司,广东,广州市,12.58亿,5.74亿,2956,1998-02-20,高速公路,公路运输
张家界旅游集团股份有限公司,湖南,张家界市,2677.35万,-3161.88万,1074,1996-08-29,景区,旅行社服务、旅游客运、旅游服务、酒店服务、租赁服务、销售服务
山东晨鸣纸业集团股份有限公司,山东,潍坊市,102.06亿,12.46亿,12752,2000-11-20,造纸,制浆、造纸
山东高速路桥集团股份有限公司,山东,济南市,65.13亿,2.10亿,14020,1997-06-09,路桥建设,路桥工程施工、路桥养护施工、周转材料及设备租赁销售、商品混凝土加工销售、工程设计咨询
武汉武商集团股份有限公司,湖北,武汉市,20.03亿,2.67亿,9038,1992-11-20,百货,商品销售
绿景控股股份有限公司,广东,广州市,379.89万,-489.96万,119,1992-11-23,房地产开发,房地产业(房产销售及租赁)、房地产业(物业管理)、医疗服务
